iter	Passed	Remaining
819	4293	942
820	4300	937
821	4306	932
822	4311	927
823	4315	921
824	4319	916
825	4322	910
826	4328	905
827	4332	900
828	4338	894
829	4343	889
830	4349	884
831	4353	879
832	4359	874
833	4364	868
834	4369	863
835	4375	858
836	4380	853
837	4386	848
838	4393	843
839	4399	838
840	4405	832
841	4411	827
842	4417	822
843	4423	817
844	4429	812
845	4433	807
846	4437	801
847	4441	796
848	4445	790
849	4448	785
850	4452	779
851	4455	773
852	4459	768
853	4463	763
854	4468	757
855	4472	752
856	4475	746
857	4479	741
858	4483	735
859	4486	730
860	4489	724
861	4492	719
862	4496	713
863	4499	708
864	4506	703
865	4514	698
866	4518	693
867	4522	687
868	4527	682
869	4533	677
870	4538	672
871	4542	666
872	4549	661
873	4553	656
874	4558	651
875	4562	645
876	4568	640
877	4574	635
878	4580	630
879	4586	625
880	4592	620
881	4598	615
882	4604	610
883	4611	605
884	4616	599
885	4619	594
886	4624	589
887	4628	583
888	4631	578
889	4634	572
890	4639	567
891	4643	562
892	4647	556
893	4650	551
894	4654	546
895	4657	540
896	4661	535
897	4665	529
898	4669	524
899	4672	519
900	4676	513
901	4679	508
902	4683	503
903	4686	497
904	4690	492
905	4693	486
906	4701	482
907	4704	476
908	4711	471
909	4718	466
910	4727	461
911	4731	456
912	4735	451
913	4739	445
914	4745	440
915	4750	435
916	4756	430
917	4762	425
918	4767	420
919	4773	415
920	4779	409
921	4786	404
922	4792	399
923	4798	394
924	4804	389
925	4810	384
926	4815	379
927	4819	373
928	4823	368
929	4826	363
930	4830	357
931	4833	352
932	4837	347
933	4840	342
934	4843	336
935	4847	331
936	4851	326
937	4854	320
938	4857	315
939	4862	310
940	4865	305
941	4868	299
942	4872	294
943	4875	289
944	4879	283
945	4882	278
946	4889	273
947	4894	268
948	4898	263
949	4901	257
950	4907	252
951	4912	247
952	4918	242
953	4922	237
954	4927	232
955	4933	227
956	4939	221
957	4949	216
958	4959	212
959	4967	206
960	4974	201
961	4981	196
962	4988	191
963	4995	186
964	5000	181
965	5006	176
966	5011	171
967	5016	165
968	5022	160
969	5026	155
970	5029	150
971	5032	144
972	5037	139
973	5040	134
974	5043	129
975	5047	124
976	5050	118
977	5056	113
978	5062	108
979	5066	103
980	5070	98
981	5073	93
982	5077	87
983	5088	82
984	5093	77
985	5098	72
986	5110	67
987	5114	62
988	5119	56
989	5124	51
990	5130	46
991	5135	41
992	5140	36
993	5147	31
994	5151	25
995	5159	20
996	5165	15
997	5172	10
998	5177	5
999	5184	0
